"protein","sd"
"A1BG",0.19034661279006
"AAMDC",0.547459103864049
"AARSD1",0.640840801544718
"ABCA2",0.374022229838748
"ABHD14B",0.6359665100737
"ABL1",0.769480185360997
"ABO",1.49519718225986
"ABRAXAS2",0.683763710413697
"ACAA1",0.928406449064173
"ACADM",0.718411707243115
"ACADSB",0.921571159323489
"ACAN",0.336129604085015
"ACE",0.273622178193075
"ACE2",0.640059244357048
"ACHE",0.357717539216554
"ACOT13",1.17697243371521
"ACOX1",0.54285905789539
"ACP1",0.465497802625085
"ACP5",0.382275385133636
"ACP6",0.749735262601235
"ACRBP",0.401721416551279
"ACRV1",1.20189650390612
"ACSL1",0.378617311050219
"ACTA2",0.527274164393699
"ACTN2",0.6223085650636
"ACTN4",0.350953734257294
"ACVRL1",0.29308159715584
"ACY1",0.768775270272435
"ACY3",0.585866394769683
"ACYP1",0.686619380307377
"ADA",0.3990993572018
"ADA2",0.48929947163101
"ADAM12",0.37516047867452
"ADAM15",0.342617163530519
"ADAM22",0.396040182309377
"ADAM23",0.394707149433595
"ADAM8",0.328015363487413
"ADAM9",0.316616910371241
"ADAMTS1",0.326632163726985
"ADAMTS13",0.262325105436478
"ADAMTS15",0.536396199379695
"ADAMTS16",0.372013420612912
"ADAMTS4",0.374258686662415
"ADAMTS8",0.513601864956258
"ADAMTSL2",0.365501522086402
"ADAMTSL4",0.250497252329984
"ADAMTSL5",0.409782385978497
"ADCYAP1R1",0.384844324181376
"ADD1",0.739487559425658
"ADGRB3",0.373732917772472
"ADGRD1",0.444677728634648
"ADGRE1",0.58055783044209
"ADGRE2",0.330760491037704
"ADGRE5",0.356164075492911
"ADGRF5",0.302274512878193
"ADGRG1",0.842509572973104
"ADGRG2",0.335659371826594
"ADGRV1",0.714294714972201
"ADH1B",0.830883976626307
"ADH4",1.03525505343398
"ADIPOQ",0.853825263121336
"ADM",0.363168700979816
"ADRA2A",0.736360068233327
"AFAP1",0.86864237194548
"AFM",0.218292469091531
"AFP",0.770490084504291
"AGBL2",0.929704559214614
"AGER",0.474306940737564
"AGR2",1.11889156329753
"AGR3",0.667626278229362
"AGRN",0.394099621643066
"AGRP",0.601645584610814
"AGT",0.234925129305931
"AGXT",0.888875154562695
"AHCY",0.749369198624659
"AHNAK",0.348343667261889
"AHNAK2",0.307961600693191
"AHSA1",0.696634275143384
"AHSG",0.281907801089032
"AHSP",1.00829650400484
"AIDA",0.874005637780017
"AIF1",0.580318563818195
"AIF1L",0.581557829027811
"AIFM1",1.1899308356749
"AK1",0.73155299462774
"AK2",1.10318948521988
"AKAP12",0.207894099801834
"AKR1B1",0.833101589587243
"AKR1B10",0.633369954816506
"AKR1C4",0.583362187976632
"AKR7L",0.728988868930453
"AKT1S1",0.737248786913263
"AKT2",1.31221468718026
"AKT3",0.629229285900863
"ALCAM",0.233718006812268
"ALDH1A1",0.642174875486836
"ALDH2",0.533360986107796
"ALDH3A1",0.779523078911377
"ALDH5A1",0.489095318441391
"ALMS1",0.460319963452507
"ALPI",1.26021196587199
"ALPP",1.4023692788672
"AMBN",0.298849569887299
"AMBP",0.238561975495028
"AMDHD2",0.265529757501457
"AMFR",0.710192821274355
"AMIGO1",0.522630532249214
"AMIGO2",0.254883359298517
"AMN",0.527789633544225
"AMOT",0.455813026925669
"AMOTL2",0.502614165524537
"AMPD3",0.764260657193443
"AMY1A_AMY1B_AMY1C",0.520687644389182
"AMY2A",0.538763172567308
"ANG",0.396679273292639
"ANGPT1",0.948113935959873
"ANGPT2",0.444910013868479
"ANGPTL1",0.328597990217549
"ANGPTL2",0.477812220268887
"ANGPTL3",0.430562151211879
"ANGPTL4",0.52714747105398
"ANGPTL7",0.421632903223875
"ANK2",0.730396292539481
"ANKMY2",0.820528666112745
"ANKRA2",0.569860725156663
"ANKRD54",0.647459674849553
"ANP32C",0.417361437710377
"ANPEP",0.312730511343345
"ANXA1",0.460400218067383
"ANXA10",0.923815936725323
"ANXA11",0.738515117774015
"ANXA2",0.738605367383401
"ANXA3",0.792705939944608
