"GeneID","CoefficientTraining"
"NIPAL2",-7.31161861997913e-05
"ADAM23",-7.2839126443573e-05
"HNRNPD",-7.27351513095177e-05
"GALNT10",-7.26242696488569e-05
"HSF4",-7.24192308798775e-05
"TTF1",-7.24005212730763e-05
"SLC25A13",-7.17770157968993e-05
"CNBP",-7.17210358509978e-05
"PRF1",-7.15780573604968e-05
"SAP30",-7.13913923850234e-05
"THRAP3",-7.13735696366758e-05
"RHOC",-7.12474079571445e-05
"TMEM14A",-7.11918979369787e-05
"BCLAF1",-7.11128676063409e-05
"MTMR1",-7.09561515553231e-05
"APOBEC3C",-7.06284426136615e-05
"TRIM8",-7.04545376211612e-05
"SATB2",-7.04171690272373e-05
"MED28",-7.03982433191399e-05
"MAN2C1",-7.03648196522346e-05
"TERF2",-7.01608292717569e-05
"NPM1",-7.00550593464847e-05
"ANXA7",-7.00312203901897e-05
"RAD51AP1",-6.98438082123146e-05
"PRDM5",-6.98388750172501e-05
"FAM117A",-6.98232618697597e-05
"WARS2",-6.97253943168994e-05
"SPOP",-6.96258083181865e-05
"TSHZ2",-6.95785072035596e-05
"IL15",-6.91302279593326e-05
"PAX8",-6.90067102690156e-05
"GPX3",-6.89034737055859e-05
"CD9",-6.88708522127333e-05
"HLCS",-6.86812739533823e-05
"PGK1",-6.86551855194038e-05
"TMEM214",-6.86159543638742e-05
"EDA",-6.84256234616801e-05
"IGFBP3",-6.81858769381427e-05
"TRIM22",-6.79508354277001e-05
"BSDC1",-6.79497001142148e-05
"BCL2",-6.7903793680563e-05
"ZRSR2",-6.78874588099099e-05
"PHTF1",-6.76708334796229e-05
"ACTR5",-6.76149080574303e-05
"PTGES3",-6.74962426407226e-05
"TIAM1",-6.73825806913591e-05
"DENND1B",-6.73671558363965e-05
"HSP90AA1",-6.73060968298351e-05
"SYT11",-6.72372482298166e-05
"DDX3X",-6.70226595756982e-05
"FXR1",-6.69646106330539e-05
"RHOB",-6.67403923139113e-05
"ATF1",-6.67335654304816e-05
"CABP1",-6.67197644568327e-05
"FEZ2",-6.66199012913106e-05
"NOD2",-6.65850523750432e-05
"CIZ1",-6.65613162600762e-05
"TRIM46",-6.64880589889612e-05
"WDR11",-6.63998269092975e-05
"EYA2",-6.63862042431199e-05
"SPAG9",-6.63740062208263e-05
"PDCL",-6.63610660635288e-05
"TRIP12",-6.62030999626275e-05
"ADARB1",-6.61585545558674e-05
"MYO5A",-6.61239878377973e-05
"MAX",-6.61238150660745e-05
"SIGMAR1",-6.58917878789091e-05
"RNPEP",-6.5883292794648e-05
"TOP2B",-6.57710534720222e-05
"HSD17B14",-6.57433484843181e-05
"SGMS1",-6.53930208018402e-05
"LRRC2",-6.53596747405755e-05
"BHLHE40",-6.5354040765811e-05
"LMO1",-6.53232149415355e-05
"HELLS",-6.52444039469864e-05
"CACNB4",-6.51914692313051e-05
"LPP",-6.49527593991243e-05
"GORASP2",-6.489563280436e-05
"H2AFY",-6.48875370362601e-05
"SF3B1",-6.47337758201952e-05
"OLFM1",-6.47321062476183e-05
"CCDC81",-6.46874815423803e-05
"TRMT112",-6.46760500386387e-05
"SECISBP2",-6.45434016219232e-05
"SARDH",-6.44684799784256e-05
"UBR4",-6.44559195463523e-05
"XRCC6",-6.44012880359858e-05
"FBXW7",-6.41538254178067e-05
"UCN",-6.4067338451533e-05
"ZBP1",-6.3983137326686e-05
"ABCA7",-6.3980157080497e-05
"KPNA6",-6.39459760535212e-05
"NKRF",-6.35644435111574e-05
"RAP1GDS1",-6.35632735840223e-05
"DCPS",-6.35169412198437e-05
"PRPF4",-6.34856432682172e-05
"PPP6R3",-6.34018200610449e-05
"NAP1L3",-6.33996028950851e-05
"STAT5B",-6.32241654759235e-05
"KIFC3",-6.31347361107268e-05
"PNMT",-6.30754829863874e-05
"CAB39",-6.30529095172762e-05
"ABCG2",-6.30443860689127e-05
"C3orf18",-6.28635063673113e-05
"KLHDC2",-6.28610126139374e-05
"TANK",-6.27128094587574e-05
"CDS2",-6.26884435005446e-05
"NF2",-6.26545047996876e-05
"SPG20",-6.25557514386371e-05
"PARPBP",-6.25414614537651e-05
