"CpG_Site","Coefficient"
"CH-5765",347.733744014878
"CH-5766",195.782181129127
"CH-5768",344.555805037466
"CH-5769",883.028076406184
"CH-5771",306.332327161174
"CH-5772",233.385796661222
"CH-5767",309.135974353719
"G9-6332",143.753440739483
"G9-6348",379.585050055063
"G9-6356",251.197561852484
"G9-6362",1505.97921735955
"G9-6363",851.754340424855
"G9-6364",536.127607364568
"G9-6365",235.830522268488
"G9-6367",279.313465626338
"G9-6373",345.269680179472
"G9-6384",239.598544954488
"G9-6385",444.271867896868
"G9-6494",309.262555671458
"G9-6496",305.299368842581
"EJ-7123",196.395324451535
"EJ-7125",348.474071114831
"G9-6333",232.229415130775
"G9-6342",423.328282634209
"G9-6351",414.882568771439
"G9-6353",353.395477396887
"G9-6499",1455.18059223208
"EJ-7317",347.083652242007
"EJ-7327",519.270887105837
"EJ-7328",344.703807685403
"DI-A1NO",123.177561471021
"BG-A2AD",138.871380776394
"BG-A2AE",92.1460442887851
"DI-A1NN",118.99018091857
"AX-A2H5",120.431175125173
"AX-A2H8",81.3801711530616
"AX-A2HC",145.239737864723
"AX-A2HD",204.648608141226
"BG-A0MA",159.665447387283
"AJ-A2QL",246.490903978341
"AX-A2H4",65.7984172936739
"AX-A2H7",144.459941279573
"AX-A2HA",224.845841958119
"BG-A2L7",231.430000289608
"DI-A2QU",190.294577716737
"EO-A22R",28.7103425891827
"EO-A22S",9.99999999999977
"EO-A22T",42.8371663435553
"DI-A2QY",342.538015805177
"AJ-A3NC",125.668505855235
"AJ-A3NE",315.554782877723
"AJ-A3NH",323.561231250808
"BG-A3EW",135.486026198493
"BG-A3PP",10
"BK-A4ZD",96.6273908621214
"AX-A05Y",155.934215144406
"AX-A0J0",261.620607311798
"AX-A0IZ",129.459548307928
"BK-A13C",117.928748652936
"AX-A1CF",158.010580267772
"AX-A1CI",93.374166416664
"AX-A1CJ",1062.12902684847
"AX-A1CK",208.999294937374
"E6-A1M0",10
"A7-A13G",779.193969133718
"BH-A1EN",6957.11201989192
"BH-A1EY",2064.71557725099
"BH-A1F2",2900.76189401939
"BH-A1F5",1395.85356997536
"BH-A1F6",2154.41325814241
"BH-A1F8",2946.14884816893
"BH-A1FB",903.126302816418
"BH-A1FC",3294.55769576478
"BH-A1FD",4375.97071711803
"BH-A1FE",1546.93743755263
"BH-A1FG",1310.31405080783
"BH-A1FH",517.022610690895
"BH-A1FJ",4002.20099155709
"BH-A1FM",1991.65532640487
"BH-A1FN",932.577130128027
"BH-A1FR",806.429939885327
"E2-A1IF",668.785486260604
"E2-A1II",1542.8468729158
"E2-A1IO",1270.08052723399
"E2-A1L7",4089.20878774331
"E2-A1LB",1498.92327670151
"E9-A1N6",1407.80246736573
"E9-A1N8",1133.50238014371
"E9-A1NA",5349.82234039133
"E9-A1ND",1705.5008142604
"E9-A1N5",1652.06976131951
"E9-A1NF",2223.9793379483
"E9-A1N4",978.281913991854
"E9-A1NE",1003.40791644284
"E9-A1NG",667.75073517875
"E9-A1R7",2754.37430789184
"AC-A23H",6418.45880290355
"BH-A204",5595.19206531704
"BC-A10Q",4097.84629871292
"BC-A10R",1719.95529436681
"BC-A10S",3522.66931969804
"BC-A10T",3550.17896253725
"BC-A10U",2163.86994890755
"BC-A10W",1873.88725735506
"BC-A10X",851.411259567549
"BC-A10Y",3442.95787377624
"BC-A10Z",1834.49562205045
"BC-A110",996.764197834096
"BC-A112",5920.24763736596
"DD-A113",3325.58166099135
"DD-A114",1715.3340750945
"DD-A115",2237.72646092979
"DD-A116",1471.12361946715
"DD-A118",2805.89919458751
"DD-A119",1524.59139085152
"DD-A11A",8753.35931306103
"DD-A11B",5132.63176553228
"DD-A11C",6135.97794768422
"DD-A11D",3568.21093487738
"DD-A1EB",3576.77972899025
"DD-A1EC",2239.78279358276
"DD-A1EE",8798.36125918419
"DD-A1EF",3080.51704628344
"DD-A1EH",2899.57286267985
"DD-A1EI",2116.51119029659
"EP-A12J",5084.95674158279
"BC-A216",3965.14407989531
"DD-A1E9",2573.44287423024
"DD-A1ED",791.08454594743
"DD-A1EJ",2811.3259189344
"DD-A1EL",1561.12641984439
"EP-A26S",4851.10328087396
"A6-2671",3558.73135073638
"A6-2679",4638.48704763123
"A6-2680",4027.4412711563
"A6-2681",3150.75974774384
"A6-2682",2262.07577004937
"A6-2684",3013.1549016899
"A6-2685",1270.71546279041
"A6-2686",6408.90917801184
"A6-4107",6896.20828192573
"AA-3488",3540.34723358472
"AA-3492",8894.54315644863
"AA-3494",2242.99255240811
"AA-3495",3690.87257407407
"AA-3502",6726.48195529611
"AA-3506",4119.51017818728
"AA-3509",3086.20294350602
"AA-3510",3295.49636708761
"A6-2675",2096.36104556782
"A6-5667",2538.15537046461
"AA-3655",3466.48318134525
"AA-3660",3895.59230614115
"AA-3663",6290.83250007223
"AA-3697",3150.11134705022
"AA-3712",2881.27504492257
"AA-3713",4420.41413693901
"G4-6295",2507.24066564799
"G4-6297",3067.69301534306
"G4-6298",3053.73799163681
"G4-6302",1149.38844100752
"G4-6311",2674.28666649635
"G4-6314",2620.29638802328
"G4-6320",8478.00374532418
"G4-6322",8291.8737191818
"AZ-6598",10000
"CV-5431",2175.36749985927
"CV-5436",2603.72414559185
"CV-5440",1598.32301778767
"CV-5441",2299.1683252163
"CV-5442",3637.02315012826
"CV-5443",2978.23517409613
"CV-5444",1920.21319681461
"CV-5430",2541.43233590197
"CV-5432",2020.50155762572
"CV-5434",2704.87300676293
"CV-5435",4694.17426923695
"CV-5439",2286.4874861929
"CV-5966",2975.2750828714
"CV-5970",2537.65480570571
"CV-5971",1270.45387515151
"CV-5973",5404.83735563851
"CV-5976",3401.34936433163
"CV-5977",6198.0103944493
"CV-5978",1411.40965511189
"CV-5979",3831.47581513836
"CV-6003",3651.36857078561
"CV-6433",2945.47980782084
"CV-6436",3050.87198839268
"CV-6441",4939.99405676242
"CV-6933",1712.89350685218
"CV-6934",2668.23746486386
"CV-6935",2603.24346354472
"CV-6936",4423.32206649666
"CV-6938",2901.44932676564
"CV-6939",1877.32008722176
"CV-6943",2024.08906140291
"CV-6951",2576.40743290332
"CV-6952",4180.15913703449
"CV-6953",4539.21283489577
"EM-A3ST",230.446568394581
"FY-A3TY",236.898182393372
"EL-A3H1",269.015324407921
"EL-A3H7",348.616485779105
"EL-A3MX",560.765081349729
"EL-A3MY",510.072391075944
"ET-A3DP",92.1265224236781
"BJ-A3PR",1127.93096116119
"BJ-A3PU",256.596774363773
"EL-A3T6",469.339032182282
"H2-A3RI",222.327794914492
"BJ-A28X",452.683976314557
"EL-A3T0",162.930293301488
"EL-A3T1",262.608823236384
"EL-A3T2",151.75913579628
"EL-A3T3",296.52538431365
"EL-A3T7",160.294661967913
"EL-A3T8",105.531419902119
"EL-A3TA",180.849325231684
"EL-A3TB",146.972715572972
"EL-A3ZG",89.5109846383518
"EL-A3ZH",110.144467497076
"EL-A3ZK",330.364697333688
"EL-A3ZL",94.9960612980278
"EL-A3ZO",802.402313561486
"EL-A3ZP",157.635588120374
"DO-A1JZ",113.001657291253
"EM-A1CS",105.0060894042
"EM-A1CT",223.327072489967
"EM-A1CU",235.498472236105
"EM-A1CV",88.0522640225735
"EM-A1CW",283.544779769829
"EM-A1YC",27.1704486798667
"EM-A1YD",63.1419947306062
"BQ-5875",1055.12094956018
"BQ-5876",1009.63107807922
"BQ-5877",1633.62305769325
"BQ-5878",1000.79312771018
"BQ-5879",6508.71237812896
"BQ-5880",1081.35454042838
"BQ-5881",669.399871598889
"BQ-5882",1357.65516536367
"BQ-5883",365.765517650097
"BQ-5884",855.626792242381
"BQ-5885",845.659136498848
"BQ-5886",857.423627267469
"BQ-5888",798.096431789509
"BQ-5889",677.163084910017
"BQ-5890",2741.60029580517
"BQ-5891",1319.64169506395
"BQ-5892",792.927440807277
"BQ-5893",8358.7745388625
"BQ-5894",2147.37859875939
"BQ-5887",1096.83416331002
"BQ-7044",1451.62799736101
"BQ-7045",631.677179162528
"BQ-7046",817.918646471453
"BQ-7048",1146.10683773355
"BQ-7049",776.678800892933
"BQ-7050",582.024440315225
"BQ-7051",1094.39724497891
"BQ-7053",689.713659193329
"BQ-7055",148.501419818912
"BQ-7056",881.743670670135
"BQ-7058",1092.44852552566
"BQ-7059",744.119704029868
"BQ-7060",678.062426567631
"BQ-7061",1526.15287174199
"CH-5761",1334.6177114037
"CH-5762",858.092345342572
"CH-5763",414.508929848521
"CH-5764",1173.08082417925
"CH-5765",1497.0437055
"CH-5766",718.543734833493
"CH-5768",1451.57727350689
"CH-5769",959.500640775594
"CH-5771",615.333953182798
"CH-5772",2291.96343349804
"CH-5767",1317.82534434742
"G9-6332",1257.42280470536
"G9-6348",1001.02419920868
"G9-6356",853.522864702555
"G9-6362",1559.40349903829
"G9-6363",1179.64489814448
"G9-6364",822.17645341329
"G9-6365",907.993140776461
"G9-6367",268.392251639751
"G9-6373",982.007116204762
"G9-6384",848.625215742082
"G9-6385",634.35431403125
"G9-6494",1642.31767386616
"G9-6496",2435.50572952429
"EJ-7123",1592.12324443016
"EJ-7125",2264.64429145244
"G9-6333",1256.34507270041
"G9-6342",1011.65684237616
"G9-6351",729.189961575902
"G9-6353",418.182717839357
"G9-6499",1240.46483398979
"EJ-7317",996.411513646793
"EJ-7327",1099.76664118271
"EJ-7328",1038.01387443857
"DI-A1NO",569.932922918447
"BG-A2AD",2324.35126147817
"BG-A2AE",1306.85177818999
"DI-A1NN",745.897258307411
"AX-A2H5",540.941250611188
"AX-A2H8",1220.52507261021
"AX-A2HC",10000
"AX-A2HD",2569.6010676214
"BG-A0MA",1059.94714247756
"AJ-A2QL",2654.3365996609
"AX-A2H4",2772.98426557811
"AX-A2H7",1211.7177705933
"AX-A2HA",4325.784601062
"BG-A2L7",1967.45509063437
"DI-A2QU",1043.59663589874
"EO-A22R",2988.65838102863
"EO-A22S",2185.25241240561
"EO-A22T",2926.87301244978
"DI-A2QY",905.159507160707
"AJ-A3NC",2444.85298450123
"AJ-A3NE",1831.19927560226
"AJ-A3NH",1016.86335560907
"BG-A3EW",3158.30462285906
"BG-A3PP",1003.98217719313
"BK-A4ZD",1345.14564174953
"AX-A0J0",1138.46113677957
"AX-A0IZ",1862.31689249291
"BK-A13C",2825.72779444158
"AX-A1CF",913.130592450153
"AX-A1CI",3065.63580173698
"AX-A1CJ",950.635309377673
"AX-A1CK",3853.68251684609
"E6-A1M0",1181.51584388553
