GeneID,CoefficientTraining
GPATCH4,-0.03488
GNL3,-0.03572
HSPD1,0.00079
LTBP3,-0.00419
MZB1,-0.08068
LRRFIP2,-0.00699
E2F5,-0.00871
ZNF365,0.04497
MT1A,0.03644
RPL18,0.01202
MARS2,-0.03151
NME8,0.00987
FAM13A,0.08583
LPCAT1,0.02916
TEX10,-0.05518
PLBD1,0.02997
CYP2J2,-0.00772
ZNF30,-0.02174
ANG,0.03827
PSTPIP2,0.03438
YPEL1,0.00804
PRKCA,0.04086
CCDC109B,-0.02251
PMEPA1,-0.00943
EIF3E,-0.00421
CDCA7L,-0.02535
RNF144A,-0.01743
APOBEC3G,0.0151
BEX2,0.00176
NPM3,-0.02402
BHLHE40,0.04844
CTNNA1,0.03493
TRAF3IP3,-0.00903
ABCE1,-0.0182
POLR1C,-0.02013
ZNF671,-0.02755
TIGD7,-0.06319
ALOX5AP,0.05601
LPP,0.07073
PAG1,-0.03006
EXOSC5,-0.01267
LRPPRC,-0.03798
KAT2A,-0.01858
C2orf40,-0.03259
PUS7,-0.03241
NOP2,-0.02391
CPT1A,0.06719
HSP90B1,-0.03286
RBM17,-0.01309
ADPRM,-0.01704
GK5,0.05995
PARP1,-0.00705
GLIPR2,0.01261
ALKBH2,-0.02836
IMP3,-0.03157
FAM213A,-0.01092
ADSL,-0.01319
TTC27,-0.03553
NPC2,0.05573
VAMP3,0.03701
MKI67IP,-0.0154
BCL11A,0.00807
CD244,0.06018
TRAP1,-0.04337
IRF8,-0.01969
MAGED1,-0.03509
KLF10,0.08435
SNRPN,0.00439
TC2N,-0.05066
CD63,0.03522
EOMES,0.0215
KIAA0125,-0.01826
HK3,-0.00745
NOL11,-0.00351
ALG8,-0.04392
TSEN2,-0.02803
POU2AF1,-0.02574
RGCC,0.03549
BNIP3,0.04506
ARHGEF18,-0.00944
CBLL1,-0.051
CCT8,-0.02615
SMAD7,0.02152
ZBTB25,-0.00325
STOM,0.01215
URI1,-0.00403
GBP5,0.02247
MAPKAPK5-AS1,-0.03736
MAP3K4,-0.0258
IRAK3,0.00279
MAML2,-0.03577
LARS,-0.02497
PTGER2,0.04876
TCEA3,0.05645
NR3C2,-0.00619
ABI3,0.00722
SPIRE1,0.02912
MS4A4A,0.06029
NUP160,-0.00221
ANKRD22,0.0061
SPON1,-0.00112
BATF,0.03763
PARP3,0.10967
TP53I3,0.05489
C10orf2,-0.04854
FCGR1A,0.01482
AFF3,-0.00713
FBXO6,-0.01765
METRNL,-0.01278
PKIA,-0.02813
UXT,-0.00744
FASLG,0.05154
AKTIP,-0.0017
MTA3,-0.06532
MSC,0.04266
DDX55,-0.04491
VSIG4,0.06648
KLRF1,0.04646
IGJ,-0.05985
UBQLN1,-0.00489
ID2,0.00042
PUS1,0.00382
RPS4X,0.0243
DYRK2,-0.02052
MGST3,0.05913
WARS,0.00536
STX11,0.01197
CNST,-0.01696
ELP2,0.0047
MAP3K5,0.05862
RRAS,0.01776
MT1E,0.00144
ZNF529,-0.01647
GIMAP7,-0.01079
FAM129C,-0.01549
RALA,0.01505
STAT1,0.03191
DUSP3,0.00496
PRMT3,-0.03897
SLC26A8,0.01912
EBF1,-0.01991
PIK3C2B,-0.01816
CCL5,-0.01531
GFI1,-0.0027
EIF2D,-0.00735
C10orf35,0.02849
FAM50B,-0.04929
EML4,-0.00458
BCKDHB,-0.03148
DNMT1,-0.00907
CD163,0.02181
DSC1,0.01084
BMS1,-0.04007
KLHL6,-0.01181
LILRA5,0.01098
ZNF683,-0.01275
ADK,-0.02856
APBA2,-0.01023
GAB3,0.02549
GPR137B,0.03158
GLTSCR2,0.03498
GOLM1,0.03906
C9orf123,0.00709
CAMTA1,-0.05354
BCAS4,0.00303
EIF4A2,0.0038
RASSF1,-0.00282
RCL1,-0.03671
AQP10,0.02069
VEGFB,0.00999
PPRC1,-0.02228
UBC,0.01797
TCN1,0.02746
MEGF9,0.02941
UBA52,-0.03174
FOXJ3,-0.01145
WDR12,-0.0273
C17orf58,0.03749
TMEM66,-0.02096
EIF4B,-0.02414
IL1R2,0.03828
SLC22A15,0.04096
GTPBP4,-0.02928
RAB11FIP5,0.01074
MZB1,-0.04558
SLAMF1,-0.01178
CD3G,-0.03226
ATP6V0E2,0.01429
FRMD3,0.03581
CYFIP1,0.01674
PALLD,0.01915
TMX4,0.03603
APMAP,0.00259
TCF7,-0.02091
RAB37,0.04664
SLFN11,0.04665
CMSS1,-0.00537
CTSW,0.00879
IGFBP3,0.10963
RPL5,-0.01905
SET,-0.03132
EFHD2,0.00013
CMKLR1,0.04136
C19orf59,0.00273
ATG7,0.00863
LCK,-0.06306
PACSIN1,-0.02303
DIMT1,-0.01799
PLEK,0.04088
CSE1L,-0.00853
SLC27A3,0.01493
TSPAN3,-0.00746
AGTRAP,0.00539
ZNF302,-0.02026
GSTO1,0.0137
HLA-DOA,-0.00068
ARHGAP32,-0.04134
SLC1A7,0.01528
PTGDR,0.00303
TTLL3,0.03185
SLC31A2,-0.01056
SNTB2,0.00559
EBAG9,0.00755
PFAS,-0.02299
WDR59,-0.02674
CD79B,0.01245
TPST1,0.05601
LAGE3,-0.02623
FCAR,0.04028
ZNF22,-0.04598
NPC1,-0.00368
MPO,0.02898
SERBP1,-0.04127
RPS13,-0.00278
CPEB3,0.00271
RBL2,-0.01799
TRAF3IP2,-0.00085
TRMT13,-0.02252
PDZD4,0.01021
MFSD10,0.02413
C12orf23,-0.04014
OBSCN,-0.04458
FCRLB,0.03962
SLC7A7,-0.00291
ANAPC1,-0.0119
HADH,0.00793
NRIP1,-0.04035
N6AMT1,-0.03953
RBPJ,0.00041
TMEM243,0.01834
SRSF6,0.00664
NARS2,-0.04777
WRN,-0.04482
TMEM99,-0.00876
P2RX5,-0.02675
SERPINB8,0.04364
SCD,-0.04256
SH3YL1,-0.03593
F13A1,0.02659
KIF1B,0.0498
APH1B,0.01121
IGLL1,-0.03449
ADAP2,0.00459
TMEM97,-0.01319
RRP15,-0.0357
ZNF101,-0.00537
PADI4,0.01723
PPA1,0.02819
NFKB1,-0.02332
DIRC2,0.01092
